Question,Answer
Не подражайте другим. Найдите себя и будьте собой.,Не подражайте другим. Найдите себя и будьте собой.
"Человек без сюрприза внутри, в своём ящике, неинтересен.","Человек без сюрприза внутри, в своём ящике, неинтересен."
Здоровье - это когда у вас каждый день болит в другом месте.,Здоровье - это когда у вас каждый день болит в другом месте.
"Люди покупают открытки не потому, что они хотят сказать, что они чувствуют. Люди покупают открытки, потому что они не могут сказать, что они чувствуют.","Люди покупают открытки не потому, что они хотят сказать, что они чувствуют. Люди покупают открытки, потому что они не могут сказать, что они чувствуют."
"Если вы решили действовать, закройте двери для сомнений.","Если вы решили действовать, закройте двери для сомнений."
"Человек, который думает только о себе и ищет во всем своей выгоды, не может быть счастлив. Хочешь жить для себя, живи для других.","Человек, который думает только о себе и ищет во всем своей выгоды, не может быть счастлив. Хочешь жить для себя, живи для других."
Каждый может стать благородным мужем. Нужно только решиться им стать.,Каждый может стать благородным мужем. Нужно только решиться им стать.
"Звоните поздней ночью мне, друзья,
не бойтесь помешать и разбудить;
кошмарно близок час, когда нельзя
и некуда нам будет позвонить.","Звоните поздней ночью мне, друзья,
не бойтесь помешать и разбудить;
кошмарно близок час, когда нельзя
и некуда нам будет позвонить."
"Если вы хотите вести счастливую жизнь, вы должны быть привязаны к цели, а не к людям или к вещам.","Если вы хотите вести счастливую жизнь, вы должны быть привязаны к цели, а не к людям или к вещам."
"Не всегда можно удержаться, чтобы не обидеть человека несправедливо, но всегда можно попросить прощения. Для этого нужно главное: не ставить себя выше людей.","Не всегда можно удержаться, чтобы не обидеть человека несправедливо, но всегда можно попросить прощения. Для этого нужно главное: не ставить себя выше людей."
"Ничто не погибает, всё лишь испытывает ряд превращений.","Ничто не погибает, всё лишь испытывает ряд превращений."
"Словно ветер в степи, словно в речке вода,
День прошел — и назад не придет никогда.
Будем жить, о подруга моя, настоящим!
Сожалеть о минувшем — не стоит труда.","Словно ветер в степи, словно в речке вода,
День прошел — и назад не придет никогда.
Будем жить, о подруга моя, настоящим!
Сожалеть о минувшем — не стоит труда."
"Больше всего люди интересуются тем, что их совершенно не касается.","Больше всего люди интересуются тем, что их совершенно не касается."
"Воспитание мужчины или женщины проверяется тем, как они ведут себя во время ссоры.","Воспитание мужчины или женщины проверяется тем, как они ведут себя во время ссоры."
"Да пребудет со мною любовь и вино!
Будь, что будет: безумье, позор – всё равно!
Чему быть суждено – неминуемо будет,
Но не больше того, чему быть суждено.","Да пребудет со мною любовь и вино!
Будь, что будет: безумье, позор – всё равно!
Чему быть суждено – неминуемо будет,
Но не больше того, чему быть суждено."
"Ты не научишься кататься на коньках, если боишься быть смешным. Лёд жизни скользок.","Ты не научишься кататься на коньках, если боишься быть смешным. Лёд жизни скользок."
"Если не будет возможности успешно напасть ни на одно государство, войны прекратятся.","Если не будет возможности успешно напасть ни на одно государство, войны прекратятся."
"Уважай себя настолько, чтобы не отдавать всех сил души и сердца тому, кому они не нужны...","Уважай себя настолько, чтобы не отдавать всех сил души и сердца тому, кому они не нужны..."
"Мне ни разу не приходилось встретить человека, который от любви лишился бы ума, но зато я видел много людей, которые от ума лишились любви.","Мне ни разу не приходилось встретить человека, который от любви лишился бы ума, но зато я видел много людей, которые от ума лишились любви."
И что только ни делает с человеком природа!,И что только ни делает с человеком природа!
Высшая и самая характерная черта нашего народа — это чувство справедливости и жажда ее.,Высшая и самая характерная черта нашего народа — это чувство справедливости и жажда ее.
"Никто не ощущает, как уходит молодость, но всякий чувствует, когда она уже ушла.","Никто не ощущает, как уходит молодость, но всякий чувствует, когда она уже ушла."
"Сторонитесь людей, которые пытаются уменьшить ваши амбиции. Маленькие люди делают это всегда. Большие же люди, напротив, дают вам почувствовать, что вы тоже можете стать великим.","Сторонитесь людей, которые пытаются уменьшить ваши амбиции. Маленькие люди делают это всегда. Большие же люди, напротив, дают вам почувствовать, что вы тоже можете стать великим."
"Люди иногда называют дружбой совместное времяпрепровождение, взаимную помощь в делах, обмен услугами. Одним словом — такие отношения, где себялюбие надеется что-нибудь выгадать.","Люди иногда называют дружбой совместное времяпрепровождение, взаимную помощь в делах, обмен услугами. Одним словом — такие отношения, где себялюбие надеется что-нибудь выгадать."
"Когда мы счастливы, мы кажемся себе хорошими людьми, но не все хорошие люди счастливы.","Когда мы счастливы, мы кажемся себе хорошими людьми, но не все хорошие люди счастливы."
"В жизни побеждает глупец. А умному везде чудятся одни лишь препятствия, и, не успев что-то начать, он уже потерял уверенность в себе.","В жизни побеждает глупец. А умному везде чудятся одни лишь препятствия, и, не успев что-то начать, он уже потерял уверенность в себе."
Воспоминания — это богатства старости.,Воспоминания — это богатства старости.
"Что может дать один человек другому, кроме капли тепла? И что может быть больше этого?","Что может дать один человек другому, кроме капли тепла? И что может быть больше этого?"
